,hash,rng-PCG64,rng-MT19937,rng-Philox,rng-SFC64,rng-numpy
0,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,0.0017911674998079738,0.002339800097979605,0.0026631778746377677,,0.004450001666555181
1,37a1ad069a800f5ef98286f25fb3fb632375168d,0.0017946313334202082,0.002328973301337101,0.00270146137336269,,0.004453628498595208
2,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,0.0017460560848121531,0.002327663497999311,0.0026393757470941637,0.0012831386247853516,0.0044436193323538955
3,044f5131450f38cdfbab63d6999b60e7e3bbabe5,0.001748927332907139,0.002324745096848346,0.0026482967514311895,0.001285049813304795,0.004449871674296446
4,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,0.0017480799166757302,0.002326237899251282,0.0026435098734509666,0.0012848330625274684,0.004449809333891608
5,53adf81bc503d749b13160a27e49160c5bbe48d7,0.0017507370818445147,0.002331329000298865,0.0026443934984854423,0.0013385383117565652,0.004452473668303961
6,49e00940a82f9590d774539cd188b634c29fc39f,0.0017464568348562655,0.002327462102402933,0.0026526907495281193,0.0012849991253460757,0.00444278449867852
7,7b9b41a4c7dbd7b719d62f343f57f841f5809693,0.0017532585819329447,0.002331620897166431,0.00276034312628326,0.0013066110004729126,0.004430200167310735
8,ae88e02a48c4744afd22c63be388870037f3c84c,0.0017201801674673334,0.0023403864033753052,0.0027962723761447705,0.0012982808766537346,0.0044285285063475986
9,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,0.0017521550859479853,0.0023303369962377474,0.0027732781272788998,0.001287933000639896,0.004448488495351436
10,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,0.001748987085496386,0.002334275798057206,0.0027755578776123002,0.0013229090018285206,0.004471648998636132
11,a5e5e51187d4476841503ce816924ea99936dba0,0.0017514573337393813,0.0023307399009354413,0.002776904500933597,0.0012871356248069787,0.004443771164612069
12,b69cf68a24cffea0a884a102da1797755de8f022,0.0017511309997644275,0.002332716900855303,0.002772943125819438,0.001287134688027436,0.004468772499725068
13,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,0.0021892954988288692,0.003201832623744849,0.003394447499886155,0.0016189654985889015,0.005254126248473767
14,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,0.0019716005990630947,0.0029796255003020633,0.0032714101689634845,0.0015891628745521302,0.00524328599931323
15,0ce156413feb21a4f2a8eae3b1cd954d04240edd,0.00171064983199661,0.002328666699759197,0.0027931594995607156,0.00127590081319795,0.004445516167227955
16,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,0.0018535618340441338,0.0026887876247201348,0.0029519786239688983,0.001371875937365985,0.004723780999484006
17,a6b4b2bdd6baf2afde27284097426e93912452e9,0.0017626779178196255,0.0023853607999626547,0.002754999250100809,0.0013095187505314243,0.004607946497950858
18,c8a5ff07e5bda47eab870671634b107da5ab7934,0.0017510561665403657,0.002317609000601806,0.0027638510000542738,0.001275693813113321,0.004441919166614147
19,fafd123410f1ad5c47341c66d8ea4cf541165e77,0.001740050249888251,0.0023183877987321463,0.0027634063735604286,0.0012765329993271735,0.004503610834944993
20,9765987c2ade250c82bfeaba49d1f9301211d63a,0.0017787697506719269,0.002412652800558135,0.0028297836252022535,0.0013522888748411788,0.00452971066746007
21,dbf37449935bced333a3999afa860aaf304ab1a1,0.0017491915823484305,0.002404018999368418,0.002840522622136632,0.0013095635622448754,0.004554991001593104
22,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,0.0018223114166175947,0.002452717201958876,0.0028928699994139606,0.0013345161869438016,0.004652050668179679
23,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,0.0017554670836640676,0.0023918256003526038,0.002781742374281748,0.0015098968578968197,0.004654688331356738
24,bb6b86e2afe88b371badfcefe298945002e47006,0.0017099169999710284,0.0023333673991146496,0.002672913124115439,0.0014636003564061997,0.004444530500525919
25,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,0.0017512950835225638,0.0023832284990930926,0.0027199319993087556,0.001499068143727657,0.004542431165949287
26,e0ffe3572b37190d9da5b1d07057e4e038bd3197,0.0017961747507797554,0.002450243900239002,0.002792218625472742,0.0015380836422471994,0.0050936055001026635
27,cfb6a4d88d88307d507a86d1d70cd7d84c611406,0.001707154166069813,0.0023318436011322777,0.002655773001606576,0.0014627215714426711,0.004471372667467222
28,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,0.0017959254158389135,0.0024413276987615973,0.0027740017503674608,0.0015294185712783864,0.004655363169149496
29,bec2b07db5c999721d2d2c10334f3afe78aaadd9,0.0017927250009961426,0.002432388500892557,0.0027661487492878223,0.0015283444996124934,0.004643249332730193
30,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,0.002135258332903807,0.002942725872344454,0.003175270625433768,0.0015527375626334106,0.005615412832412403
31,cb557b79fa0ce467c881830f8e8e042c484ccfaa,0.0018659572990145535,0.0025529750000714557,0.002730091126068146,0.001416693143255543,0.004831708749406971
32,badbf70324274bdb4299d8c64d3d83a26be2d4c0,0.0018257939166990886,0.002559026599919889,0.002764781749647227,0.0013387860626608017,0.005269654667548215
33,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,0.002032701415979924,0.0027897953768842854,0.002978923250338994,0.0013163625008019153,0.004941600753227249
34,3c91a3e1704c8aa7f1258aa30892040df9d952f4,0.0018275774164067116,0.002430523300427012,0.0028145921241957694,0.0013741253133048303,0.004732847833414174
35,fe3d717080e812383900507168a6bd7093c4e434,0.0018193025831957736,0.0023217770001792816,0.00264021362454514,0.001279295624954102,0.004460188334633131
36,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,0.0017451799170279023,0.0023212972002511377,0.0026650460004020715,0.0012765555002260953,0.0044341261648999835
37,e69faef03428b82f5651a5fb521610ddea2bd22a,0.001927177916513756,0.0024268138004117645,0.0027580995001699193,0.0013376781871556886,0.004675984331697691
38,092905febd53742d2a700322f88b652d6a5fd4fb,0.0018156393337752281,0.002422384700184921,0.002750899625425518,0.001331981187377096,0.0046428693349298555
39,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,0.0019595441001001744,0.002632241749779496,0.003027686624591297,0.0014699717503390275,0.00524003825012187
40,3544fae2859d8ecac378b9ddc8f909c69455a831,0.0020604337496479275,0.002822989899868844,0.002987438123454922,0.00155509018804878,0.005233555999438977
41,05fcb6544f72ea173011a77cee14d72979ffe293,0.00202622880024137,0.0024242642997705844,0.0027527726251719287,0.0013394178122325684,0.004695538167046228
42,f4ef0fd5d97afc7788c46eb51889e90623f5577e,0.0020179732993710784,0.0026554542491794564,0.0030036515005728384,0.0015773984165813695,0.005066989000624744
43,5cc7ef066fca7a821a2160b095578384c301ae3c,0.002055411416828671,0.002813157500349916,0.003014713375705469,0.0017125466247307486,0.006486021500677452
44,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,0.0018253389165086749,0.0024334920999535825,0.002765411875770951,0.001338038750418491,0.004670834332500817
45,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,0.0018161644996628943,0.0024222778003604615,0.002752882750428398,0.001332259187620366,0.004645048000384122
46,b3a7a69a198a8385735584b88408c91a1eef5a4b,0.001885114250702221,0.002535168400208931,0.00319330937554696,0.0014303711877801106,0.005247958999461844
47,bc6a6084f6e49bd78c12508131395304a63cc6ca,0.0018224502500743256,0.002425682700049947,0.0028027194998685445,0.001344230125141621,0.005364256832763203
48,c0d36c88b8b525f5869eefd893d1d77ffe41903e,0.001914840002427809,0.002626714249345241,0.0028847878747910727,0.0014673624287492462,0.00490895050461404
49,bcdfd208a9b99036cc6e379180c3242b08dedc47,0.001745566667523235,0.0023263334995135667,0.00262741775077302,0.001276306062209187,0.004452414999832399
50,49c560c22f137907ea6a240591e49b004f28444b,0.0017367357480300902,0.0023392787988996133,0.0026361213749623857,0.0012771393139701104,0.004454761001397856
51,45fb3a28100d509b695f432cf100f36f0e4c2f9f,0.0017410005821147934,0.002314494200982153,0.0026406821270938963,0.001278317500691628,0.004444095165429948
52,273b7fe0a94ae3a8ac96f4b34a396a8d3584c210,0.0017377545009367168,0.002312199299922213,0.002634937125549186,0.0012769701879733475,0.004448917165670233
53,8840d950e0eedf2eadb96d9867d8f8341e51aaac,0.0017373409161033728,0.002315617699059658,0.0026332817506045103,0.0012746032498398563,0.004434368830213012
54,9d9cc5ca473d52eeda693a254fc0a1cbd4f4f1c4,0.0018259690017051375,0.0024439267988782378,0.0029652562516275793,0.0013578288126154803,0.004668736675133308
